route_id,source_airport_id,destination_airport_id,distance
17,2397,3728,81.3415163206
17,3728,3536,49.9004064939
17,3536,4022,5.19240448751
18,3253,3250,2.5577919113
18,3250,3919,8.51184967035
18,3919,3920,4.64431637261
18,3920,3271,1.13974169469
18,3271,3269,2.63225435976
18,3269,2397,9.90755426056
18,2397,3484,122.128150389
18,3484,3858,27.4593710863
18,3858,4023,7.64089657109
19,3253,3250,2.5577919113
19,3250,3919,8.51184967035
19,3919,3920,4.64431637261
19,3920,3271,1.13974169469
19,3271,3269,2.63225435976
19,3269,2397,9.90755426056
19,2397,3484,122.128150389
19,3484,3751,14.9561738083
19,3751,3858,12.5033310208
19,3858,4023,7.64089657109
20,3253,3250,2.5577919113
20,3250,3919,8.51184967035
20,3919,3920,4.64431637261
20,3920,3271,1.13974169469
20,3271,3269,2.63225435976
20,3269,2397,9.90755426056
20,2397,3484,122.128150389
20,3484,3751,14.9561738083
20,3751,4009,8.76030716723
20,4009,3858,3.7524753176
20,3858,4023,7.64089657109
21,3253,3250,2.5577919113
21,3250,3919,8.51184967035
21,3919,3920,4.64431637261
21,3920,3271,1.13974169469
21,3271,3269,2.63225435976
21,3269,2397,9.90755426056
21,2397,3728,81.3415163206
21,3728,3536,49.9004064939
21,3536,4020,5.05685206238
22,3253,3250,2.5577919113
22,3250,3919,8.51184967035
22,3919,3920,4.64431637261
22,3920,3271,1.13974169469
22,3271,3269,2.63225435976
22,3269,2397,9.90755426056
22,2397,3728,81.3415163206
22,3728,3748,39.4081390697
22,3748,3536,10.5241909331
22,3536,4020,5.05685206238
23,3253,3250,2.5577919113
23,3250,3919,8.51184967035
23,3919,3920,4.64431637261
23,3920,3271,1.13974169469
23,3271,3269,2.63225435976
23,3269,2433,4.67018231586
23,2433,2397,5.27555010313
23,2397,3728,81.3415163206
23,3728,3536,49.9004064939
23,3536,4020,5.05685206238
24,3253,3250,2.5577919113
24,3250,3919,8.51184967035
24,3919,3920,4.64431637261
24,3920,3271,1.13974169469
24,3271,3269,2.63225435976
24,3269,2397,9.90755426056
24,2397,3728,81.3415163206
24,3728,3536,49.9004064939
24,3536,4021,6.08215459279
25,3253,3250,2.5577919113
25,3250,3919,8.51184967035
25,3919,3920,4.64431637261
25,3920,3271,1.13974169469
25,3271,3269,2.63225435976
25,3269,2397,9.90755426056
25,2397,3728,81.3415163206
25,3728,3748,39.4081390697
25,3748,3536,10.5241909331
25,3536,4021,6.08215459279
26,3253,3250,2.5577919113
26,3250,3919,8.51184967035
26,3919,3920,4.64431637261
26,3920,3271,1.13974169469
26,3271,3269,2.63225435976
26,3269,2433,4.67018231586
26,2433,2397,5.27555010313
26,2397,3728,81.3415163206
26,3728,3536,49.9004064939
26,3536,4021,6.08215459279
27,3253,3250,2.5577919113
27,3250,3919,8.51184967035
27,3919,3920,4.64431637261
27,3920,3271,1.13974169469
27,3271,3269,2.63225435976
27,3269,2397,9.90755426056
27,2397,3484,122.128150389
27,3484,3877,3.89497728028
27,3877,4028,26.7628396739
28,3253,3250,2.5577919113
28,3250,3919,8.51184967035
28,3919,3920,4.64431637261
28,3920,3271,1.13974169469
28,3271,3269,2.63225435976
28,3269,2433,4.67018231586
28,2433,2397,5.27555010313
28,2397,3484,122.128150389
28,3484,3877,3.89497728028
28,3877,4028,26.7628396739
29,3253,3250,2.5577919113
29,3250,3919,8.51184967035
29,3919,3920,4.64431637261
29,3920,3271,1.13974169469
29,3271,3269,2.63225435976
29,3269,2397,9.90755426056
29,2397,3728,81.3415163206
29,3728,3877,45.2471627127
29,3877,4028,26.7628396739
30,3253,3250,2.5577919113
30,3250,3316,20.9329460909
30,3316,4029,85.3810146596
31,3253,3250,2.5577919113
31,3250,3316,20.9329460909
31,3316,3179,8.82993658099
