route_id,source_airport_id,destination_airport_id,num_stops,distance
390,3253,3205,5,34.0673114299
391,3253,3205,5,35.6330044954
392,3253,3204,5,36.0623069811
393,3253,3204,6,36.804271869
394,3253,3204,6,38.3699649344
395,3253,1627,9,161.828100802
396,3253,1627,8,161.867925439
397,3253,1627,9,161.86878955
398,3253,1626,6,144.205620255
399,3253,1626,8,144.234792387
400,3253,1626,9,144.234794326
401,3253,1997,6,72.1162233176
402,3253,1997,7,72.4351696382
403,3253,1997,7,73.3949240786
